"event","gender","age","industry","profession","greywage","way"
1,"m",35,"Banks","HR","white","bus"
1,"m",33,"Banks","HR","white","bus"
1,"f",35,"PowerGeneration","HR","white","bus"
1,"f",35,"PowerGeneration","HR","white","bus"
1,"m",32,"Retail","Commercial","white","bus"
1,"f",42,"manufacture","HR","white","bus"
1,"f",42,"manufacture","HR","white","bus"
1,"f",28,"Retail","HR","white","bus"
1,"f",29,"Banks","HR","white","bus"
1,"f",30,"Consult","Marketing","white","bus"
1,"f",40,"manufacture","HR","white","car"
1,"m",23,"Banks","HR","white","bus"
1,"f",22,"Consult","HR","white","foot"
1,"f",24,"State","etc","white","foot"
1,"f",25,"etc","HR","white","foot"
1,"f",28,"Building","HR","white","car"
1,"f",30,"Banks","HR","white","bus"
1,"f",27,"IT","Sales","white","bus"
1,"f",36,"Banks","HR","grey","bus"
1,"f",29,"etc","HR","white","bus"
1,"f",29,"etc","HR","white","bus"
1,"f",48,"State","BusinessDevelopment","white","bus"
1,"f",29,"Banks","Finanñe","white","car"
1,"f",25,"Banks","HR","white","bus"
1,"f",25,"Banks","HR","white","bus"
1,"f",36,"Banks","Finanñe","white","car"
1,"f",36,"Retail","HR","white","bus"
1,"m",29,"Banks","HR","white","car"
1,"f",35,"HoReCa","HR","white","bus"
1,"f",35,"HoReCa","HR","white","bus"
1,"f",21,"Telecom","Sales","white","bus"
1,"m",35,"etc","Sales","white","car"
1,"f",25,"etc","etc","white","bus"
1,"f",30.40033257,"Retail","HR","white","bus"
1,"f",29,"Consult","HR","white","bus"
1,"f",22,"Pharma","HR","white","bus"
1,"f",34,"Retail","HR","white","car"
1,"f",34,"Retail","HR","white","car"
1,"f",34,"Retail","HR","white","car"
1,"f",34,"Retail","HR","white","car"
1,"f",21,"etc","HR","white","bus"
1,"f",22,"etc","HR","grey","car"
1,"f",32,"Retail","HR","white","car"
1,"f",36,"Pharma","etc","white","car"
1,"f",30,"Banks","HR","white","bus"
1,"f",32,"Retail","HR","white","bus"
1,"f",33,"Retail","HR","white","car"
1,"f",49,"State","BusinessDevelopment","white","bus"
1,"f",29,"Retail","HR","white","bus"
1,"f",29,"Retail","HR","white","bus"
1,"f",29,"Retail","HR","white","bus"
1,"m",36,"Mining","HR","white","foot"
1,"f",22,"State","Teaching","white","bus"
1,"f",21,"transport","HR","white","foot"
1,"f",25,"Retail","HR","white","bus"
1,"m",38,"manufacture","HR","white","car"
1,"m",38,"manufacture","HR","white","car"
1,"f",23,"Consult","HR","white","bus"
1,"f",23,"Consult","HR","white","bus"
1,"m",38,"Banks","BusinessDevelopment","white","car"
1,"f",24,"Retail","HR","white","foot"
1,"f",24,"Retail","HR","white","foot"
1,"f",36,"manufacture","HR","white","car"
1,"f",21,"State","Sales","grey","bus"
1,"f",29,"Telecom","HR","white","foot"
1,"f",29,"Banks","HR","white","bus"
1,"f",26,"manufacture","HR","white","car"
1,"m",36,"etc","manage","white","car"
1,"m",36,"etc","manage","white","car"
1,"f",30.40033257,"State","Teaching","white","foot"
1,"f",22,"State","HR","white","bus"
1,"m",29,"Banks","Marketing","white","bus"
1,"f",23,"State","Teaching","white","bus"
1,"m",22,"manufacture","manage","white","foot"
1,"f",36,"etc","HR","white","bus"
1,"m",27,"State","Teaching","white","bus"
0,"f",34,"Retail","HR","white","car"
0,"f",34,"Retail","HR","white","car"
0,"f",34,"Retail","HR","white","car"
1,"f",25,"Banks","HR","white","bus"
1,"f",25,"Banks","HR","white","bus"
1,"f",24,"Consult","HR","white","bus"
1,"f",27,"Retail","etc","white","bus"
1,"f",34,"Banks","BusinessDevelopment","white","car"
1,"f",34,"Banks","BusinessDevelopment","white","car"
1,"f",24,"IT","HR","white","bus"
1,"f",23,"State","Teaching","white","bus"
1,"f",38,"Telecom","HR","white","car"
1,"f",25,"Banks","HR","white","bus"
1,"f",25,"Banks","HR","white","bus"
1,"f",28,"manufacture","HR","white","bus"
1,"f",29,"manufacture","HR","white","car"
1,"m",26,"etc","Commercial","white","car"
1,"m",21,"etc","Marketing","white","bus"
1,"f",25,"Consult","HR","white","bus"
1,"f",25,"Consult","HR","white","bus"
1,"f",24,"Consult","HR","white","bus"
1,"f",31,"State","HR","grey","bus"
1,"f",45,"Retail","HR","white","bus"
1,"f",21,"etc","etc","white","bus"
1,"f",22,"etc","HR","white","bus"
1,"f",37,"Mining","Commercial","white","bus"
1,"f",32,"etc","HR","white","bus"
1,"f",37,"manufacture","HR","white","bus"
1,"f",30,"Retail","HR","white","bus"
1,"f",37,"transport","HR","white","bus"
1,"f",22,"Pharma","HR","white","bus"
1,"f",22,"Pharma","HR","white","bus"
